#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 320038:6960 | 07/22/18 07:09:04 | 621  | 621  | 226.608305777  | 217.941748816 |
| 320039:6960 | 07/22/18 11:13:45 | 30   | 30   | 9.108541243    | 8.169450192   |
| 320040:6960 | 07/22/18 11:29:06 | 737  | 737  | 182.649794131  | 176.742146878 |
| 320059:6961 | 07/22/18 18:43:23 | 105  | 105  | 43.463104437   | 40.764842738  |
| 320060:6961 | 07/22/18 19:27:05 | 42   | 42   | 16.476111084   | 15.678843612  |
| 320061:6961 | 07/22/18 19:46:28 | 49   | 49   | 19.035429842   | 18.213987849  |
| 320062:6961 | 07/22/18 20:06:50 | 21   | 21   | 7.973631085    | 6.933082851   |
| 320063:6961 | 07/22/18 20:17:40 | 64   | 64   | 23.610110150   | 22.090009402  |
| 320064:6961 | 07/22/18 20:48:07 | 200  | 200  | 68.137503939   | 64.635248324  |
| 320065:6961 | 07/22/18 22:09:30 | 920  | 920  | 234.052494109  | 226.190907277 |
| 320673:7005 | 08/01/18 02:33:01 | 867  | 867  | 65.900018407   | 64.605709172  |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 34.275527378   | 33.717956677  |
| 320688:7006 | 08/01/18 15:24:06 | 483  | 483  | 134.192209795  | 129.763293701 |
| 320712:7008 | 08/02/18 02:45:01 | 204  | 204  | 71.608193886   | 69.237905436  |
| 320757:7013 | 08/02/18 14:37:56 | 332  | 332  | 120.323253430  | 116.139791116 |
| 320804:7017 | 08/03/18 07:27:51 | 1229 | 1229 | 330.093591435  | 318.200685264 |
| 320807:7017 | 08/03/18 15:28:46 | 7    | 7    | 1.318252203    | 0.347989640   |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 108.691219795  | 105.914288324 |
| 320821:7018 | 08/03/18 23:57:32 | 181  | 181  | 62.763218112   | 60.232421569  |
| 320822:7018 | 08/04/18 01:09:16 | 523  | 523  | 154.659698909  | 149.463483731 |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 82.641141395   | 79.839735369  |
| 320824:7018 | 08/04/18 06:55:49 | 1051 | 1051 | 167.898929465  | 163.564744401 |
| 320838:7020 | 08/04/18 17:31:12 | 265  | 265  | 96.647276830   | 92.097804459  |
| 320840:7020 | 08/04/18 19:20:14 | 471  | 471  | 146.448063875  | 140.663938804 |
