#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 278018:5154 | 08/02/16 02:52:01 | 1158 | 1158 | 227.486191493  | 216.262016005 |
| 278167:5161 | 08/03/16 18:39:02 | 2173 | 2171 | 332.140385500  | 317.529994813 |
| 278175:5161 | 08/04/16 08:44:58 | 88   | 88   | 9.356527739    | 9.121976662   |
| 278193:5162 | 08/04/16 12:31:44 | 155  | 155  | 36.753241269   | 34.971065750  |
| 278239:5163 | 08/04/16 23:23:01 | 679  | 676  | 146.337728723  | 134.595554925 |
| 278240:5163 | 08/05/16 03:46:54 | 1303 | 1303 | 207.410330575  | 198.739528903 |
| 278273:5169 | 08/05/16 17:37:20 | 40   | 40   | 8.171111237    | 5.915094696   |
| 278274:5169 | 08/05/16 17:55:42 | 85   | 85   | 19.782256499   | 18.218056266  |
| 278288:5170 | 08/05/16 21:11:12 | 18   | 15   | 4.236722262    | 2.906663809   |
| 278289:5170 | 08/05/16 21:18:02 | 59   | 54   | 13.262298821   | 9.557321107   |
| 278290:5170 | 08/05/16 21:42:34 | 11   | 11   | 2.643739516    | 2.448792358   |
| 278308:5173 | 08/06/16 13:00:39 | 1754 | 1750 | 334.439801623  | 316.338147437 |
| 278310:5173 | 08/07/16 00:47:36 | 709  | 709  | 92.298488702   | 89.216196554  |
| 278315:5179 | 08/07/16 10:56:52 | 693  | 693  | 151.256182473  | 138.937822674 |
| 278345:5181 | 08/08/16 00:13:39 | 748  | 748  | 165.507469340  | 151.740578409 |
| 278346:5181 | 08/08/16 05:08:15 | 150  | 141  | 28.572227243   | 22.486479025  |
| 278349:5181 | 08/08/16 06:27:06 | 621  | 617  | 101.224634480  | 95.653084650  |
| 278366:5181 | 08/08/16 10:36:47 | 453  | 453  | 62.155738603   | 59.965423895  |
| 278406:5183 | 08/08/16 17:15:50 | 1597 | 1597 | 316.165421406  | 300.016930515 |
| 278509:5187 | 08/09/16 18:29:15 | 1467 | 1467 | 297.804395859  | 276.277381767 |
| 278769:5197 | 08/13/16 06:38:56 | 37   | 31   | 9.725138528    | 7.290296385   |
| 278770:5197 | 08/13/16 06:54:00 | 767  | 767  | 172.788929204  | 165.550062142 |
| 278801:5198 | 08/13/16 14:43:37 | 45   | 42   | 12.090862389   | 7.893317208   |
| 278802:5198 | 08/13/16 15:01:05 | 21   | 17   | 4.822326067    | 1.725288660   |
| 278803:5198 | 08/13/16 15:10:53 | 330  | 323  | 81.012942765   | 72.484095681  |
| 278804:5198 | 08/13/16 17:20:06 | 8    | 5    | 1.837693601    | 0.755142511   |
| 278805:5198 | 08/13/16 17:23:10 | 288  | 285  | 62.690101504   | 56.436357049  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+--------+--------+-------------------+------------------+
| nfill | nrun | nls    | ncms   | totdelivered(/pb) | totrecorded(/pb) |
+-------+------+--------+--------+-------------------+------------------+
| 80    | 236  | 141633 | 141089 | 20733.124495925   | 19648.186119302  |
+-------+------+--------+--------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: [(284044, 1), (284044, 2), (284044, 3), (284044, 4), (284044, 5), (284044, 6), (284044, 7), (284044, 8), (284044, 9), (284044, 10), (284044, 11), (284044, 12), (284044, 13), (284044, 14), (284044, 15), (284044, 16), (284044, 17), (284044, 18), (284044, 19), (284044, 20), (284044, 21), (284044, 22), (284044, 23), (284044, 24), (284044, 25), (284044, 26), (284044, 27), (284044, 28), (284044, 29), (284044, 30)]
